预测值：0.5998285780707736 真实值：0.592777778 误差：1.18945080812%
预测值：0.5802556261332696 真实值：0.597777778 误差：2.9312149952%
预测值：0.5957592548709925 真实值：0.624444444 误差：4.59371356485%
预测值：0.5730072729309604 真实值：0.567222222 误差：1.01989144758%
预测值：0.6395910913023333 真实值：0.651111111 误差：1.76928630199%
预测值：0.5772610979163332 真实值：0.573333333 误差：0.685075276503%
预测值：0.624043750025167 真实值：0.618888889 误差：0.832921889016%
预测值：0.5846072523325545 真实值：0.583333333 误差：0.21838617142%
预测值：0.587854044529524 真实值：0.596111111 误差：1.38515560574%
预测值：0.6430632794690458 真实值：0.634444444 误差：1.35848545141%
预测值：0.5775581790086669 真实值：0.602222222 误差：4.09550529528%
预测值：0.5925749536826547 真实值：0.608333333 误差：2.59041851934%
预测值：0.6158513359926426 真实值：0.589444444 误差：4.47996282965%
预测值：0.5410754629788334 真实值：0.558333333 误差：3.09096179668%
预测值：0.603157438284341 真实值：0.617222222 误差：2.27872283504%
预测值：0.629359841273492 真实值：0.637222222 误差：1.23385225045%
预测值：0.5539622420985355 真实值：0.547777778 误差：1.1290096727%
预测值：0.5755243519505594 真实值：0.571111111 误差：0.772746470093%
预测值：0.5636160978758333 真实值：0.578333333 误差：2.54476688173%
预测值：0.6134178703465001 真实值：0.622777778 误差：1.50292897148%
预测值：0.4786361110300003 真实值：0.468333333 误差：2.19988143146%
预测值：0.62750617066075 真实值：0.629444444 误差：0.30793398174%
预测值：0.5978900197728692 真实值：0.559444444 误差：6.87209895195%
预测值：0.582545696645754 真实值：0.576666667 误差：1.01948490908%
预测值：0.6037840189420555 真实值：0.606111111 误差：0.383938194782%
预测值：0.5982477336862622 真实值：0.583888889 误差：2.45917416083%
预测值：0.6078612830556663 真实值：0.62 误差：1.95785757167%
预测值：0.5799669576895478 真实值：0.563333333 误差：2.95271444368%
预测值：0.6030890541438335 真实值：0.623333333 误差：3.24774527278%
预测值：0.5725462698503689 真实值：0.579444444 误差：1.1904806787%
预测值：0.6310215994250454 真实值：0.616111111 误差：2.42009731018%
预测值：0.6216042070025901 真实值：0.648888889 误差：4.20483112902%
预测值：0.6097387302003336 真实值：0.623333333 误差：2.18095232197%
预测值：0.599843836006881 真实值：0.585 误差：2.53740786442%
预测值：0.586183517261355 真实值：0.619444444 误差：5.36947696615%
预测值：0.5486720370759999 真实值：0.547777778 误差：0.163252163909%
预测值：0.6292660604099922 真实值：0.616111111 误差：2.13515860615%
预测值：0.6207960513733337 真实值：0.624444444 误差：0.584262164829%
预测值：0.6454948148650002 真实值：0.620555556 误差：4.01885997537%
预测值：0.5775337301480953 真实值：0.582222222 误差：0.805275318383%
预测值：0.5749607386309998 真实值：0.586666667 误差：1.99532869813%
预测值：0.6496769791164472 真实值：0.663333333 误差：2.05874681765%
预测值：0.641910690036349 真实值：0.607222222 误差：5.71264798612%
预测值：0.6339444179651192 真实值：0.657222222 误差：3.54184676897%
预测值：0.6106877181958096 真实值：0.607222222 误差：0.570713005923%
预测值：0.5703791667113336 真实值：0.57 误差：0.0665204756726%
预测值：0.5082742877033329 真实值：0.46 误差：10.4944103703%
预测值：0.578793950614254 真实值：0.599444444 误差：3.44493865819%
预测值：0.6394746758945833 真实值：0.669444444 误差：4.47681183615%
预测值：0.5869992195763336 真实值：0.601111111 误差：2.34763443321%
预测值：0.639249008005167 真实值：0.645 误差：0.891626665866%
预测值：0.628701216986 真实值：0.604444444 误差：4.01306906313%
预测值：0.57670229504775 真实值：0.575555556 误差：0.199240374938%
预测值：0.5845084259946668 真实值：0.616111111 误差：5.1293807953%
预测值：0.5022499999 真实值：0.538333333 误差：6.70278633852%
预测值：0.5201719444619998 真实值：0.47 误差：10.6748818004%
预测值：0.6164419554373648 真实值：0.611111111 误差：0.872319999%
预测值：0.5432617261879998 真实值：0.55 误差：1.22514069309%
预测值：0.6206196958176191 真实值：0.633888889 误差：2.09329953761%
预测值：0.6416701772309998 真实值：0.655555556 误差：2.11810862434%
预测值：0.6235303011860119 真实值：0.614444444 误差：1.4787109355%
预测值：0.6206527976039881 真实值：0.638333333 误差：2.76979666923%
预测值：0.556214404790095 真实值：0.556111111 误差：0.0185743079129%
预测值：0.6155052461003574 真实值：0.64 误差：3.82730529682%
预测值：0.5685970260008214 真实值：0.558333333 误差：1.83827337438%
预测值：0.6104166622615713 真实值：0.622222222 误差：1.8973221015%
预测值：0.6050633597603806 真实值：0.617777778 误差：2.05808928265%
预测值：0.5693799205770239 真实值：0.558888889 误差：1.87712294581%
预测值：0.5492182229419165 真实值：0.562777778 误差：2.40939773889%
预测值：0.5456347090813334 真实值：0.567222222 误差：3.805829899%
预测值：0.5389265873245238 真实值：0.528333333 误差：2.00503236553%
预测值：0.617781421911381 真实值：0.596666667 误差：3.53878573736%
预测值：0.5845751936363485 真实值：0.576111111 误差：1.46917538557%
预测值：0.6304236574714167 真实值：0.613333333 误差：2.78646594794%
预测值：0.5776448942079762 真实值：0.594444444 误差：2.82609249049%
预测值：0.46854999991 真实值：0.46 误差：1.85869563261%
预测值：0.5990979320684684 真实值：0.597222222 误差：0.314072383674%
预测值：0.5851865740549997 真实值：0.560555556 误差：4.39403691416%
预测值：0.626681825420619 真实值：0.641111111 误差：2.25066846165%
预测值：0.49085462955333353 真实值：0.52 误差：5.60487893205%
预测值：0.6307472379147813 真实值：0.601111111 误差：4.93022444145%
预测值：0.6369135438705005 真实值：0.639444444 误差：0.39579671905%
预测值：0.5793467755276669 真实值：0.562777778 误差：2.94414566022%
预测值：0.587813963786278 真实值：0.599444444 误差：1.940209861%
预测值：0.6158815211621905 真实值：0.638333333 误差：3.51725512003%
预测值：0.5818644046978332 真实值：0.577222222 误差：0.804227994159%
预测值：0.6393352314792502 真实值：0.636111111 误差：0.506848634381%
预测值：0.6295402194641924 真实值：0.614444444 误差：2.4568169851%
预测值：0.641478306934762 真实值：0.627222222 误差：2.2728921959%
预测值：0.5781830289976191 真实值：0.603888889 误差：4.25672014681%
预测值：0.5054999998799995 真实值：0.476666667 误差：6.04895094962%
预测值：0.5712817327981667 真实值：0.566666667 误差：0.814423375668%
预测值：0.6515907375277383 真实值：0.643888889 误差：1.1961455865%
预测值：0.49586712949333317 真实值：0.466666667 误差：6.25724195839%
预测值：0.5835631614311906 真实值：0.578888889 误差：0.80745589007%
预测值：0.59985388895 真实值：0.583333333 误差：2.83209530733%
预测值：0.5780693783288615 真实值：0.545555556 误差：5.95976376215%
预测值：0.5923050926046667 真实值：0.601666667 误差：1.55594034185%
预测值：0.6349074501649165 真实值：0.63 误差：0.778960343638%
预测值：0.5044333332299998 真实值：0.496666667 误差：1.56375830029%
预测值：0.5783767130076666 真实值：0.590555556 误差：2.06226880242%
预测值：0.627398760293078 真实值：0.64 误差：1.96894370421%
预测值：0.6131593981597376 真实值：0.599444444 误差：2.2879441618%
预测值：0.5991947618809287 真实值：0.608888889 误差：1.5921011689%
预测值：0.6232026234227223 真实值：0.595 误差：4.7399367097%
预测值：0.5904778924013968 真实值：0.590555556 误差：0.0131509386059%
预测值：0.49867544509833306 真实值：0.463333333 误差：7.62779398355%
预测值：0.5835955291269527 真实值：0.592222222 误差：1.4566648384%
预测值：0.6441878175144049 真实值：0.639444444 误差：0.741796032308%
预测值：0.5833443254021667 真实值：0.57 误差：2.34110971968%
预测值：0.5630078968099924 真实值：0.567222222 误差：0.742976037707%
预测值：0.5881325616838491 真实值：0.584444444 误差：0.631046752469%
预测值：0.5513998280508331 真实值：0.532222222 误差：3.60330802776%
预测值：0.576864876567778 真实值：0.549444444 误差：4.9905741822%
预测值：0.596882464692278 真实值：0.582222222 误差：2.51798061605%
预测值：0.6375863845377778 真实值：0.638888889 误差：0.203870263617%
预测值：0.6369593784393334 真实值：0.630555556 误差：1.01558417469%
预测值：0.5031588115073334 真实值：0.456666667 误差：10.1807615635%
预测值：0.5875666137112378 真实值：0.588888889 误差：0.224537313144%
预测值：0.5814937735269592 真实值：0.583888889 误差：0.410200556675%
预测值：0.593263134913143 真实值：0.602777778 误差：1.57846613364%
预测值：0.5687150264797145 真实值：0.578333333 误差：1.66310775663%
预测值：0.5575270370566667 真实值：0.541666667 误差：2.92806831635%
预测值：0.5800330277702542 真实值：0.562777778 误差：3.06608584148%
预测值：0.5895685956708889 真实值：0.580555556 误差：1.55248530097%
预测值：0.6253300316595095 真实值：0.62 误差：0.859682525727%
预测值：0.6153020833248334 真实值：0.632777778 误差：2.7617427923%
预测值：0.5850097222456667 真实值：0.57 误差：2.6332846045%
预测值：0.6033492593486663 真实值：0.586666667 误差：2.84362369418%
预测值：0.607708373173694 真实值：0.596666667 误差：1.85056527947%
预测值：0.6519426984400954 真实值：0.646111111 误差：0.902567273773%
预测值：0.4932427776319998 真实值：0.556666667 误差：11.3935130533%
预测值：0.5825941658500857 真实值：0.605 误差：3.70344366114%
预测值：0.6350143408924087 真实值：0.635555556 误差：0.0851562231629%
预测值：0.5698755026113335 真实值：0.556111111 误差：2.47511537516%
预测值：0.5910589946846426 真实值：0.581111111 误差：1.71187290973%
预测值：0.5626726852352939 真实值：0.550555556 误差：2.20089128213%
预测值：0.575089197558222 真实值：0.580555556 误差：0.941573702169%
预测值：0.6172836376303809 真实值：0.595555556 误差：3.64837191283%
预测值：0.4880703702566667 真实值：0.456666667 误差：6.87672333586%
预测值：0.6507118350823334 真实值：0.663888889 误差：1.98482820484%
预测值：0.6014448081836429 真实值：0.601111111 误差：0.0555133947013%
预测值：0.5918298016109524 真实值：0.586111111 误差：0.97570076793%
预测值：0.6129890908369166 真实值：0.595555556 误差：2.92727263834%
预测值：0.5820891004663808 真实值：0.587222222 误差：0.874136117693%
预测值：0.5896720767064523 真实值：0.6 误差：1.72132054892%
预测值：0.5632689594019048 真实值：0.581666667 误差：3.16292967121%
预测值：0.5824902238646886 真实值：0.577222222 误差：0.912647099142%
预测值：0.63780318346273 真实值：0.651666667 误差：2.12738877701%
预测值：0.5820132760330202 真实值：0.576666667 误差：0.927157635248%
预测值：0.5593083024301111 真实值：0.553888889 误差：0.978429706343%
预测值：0.5779831878342144 真实值：0.549444444 误差：5.19410909435%
预测值：0.6359882672002856 真实值：0.601111111 误差：5.80211471092%
预测值：0.547676547629405 真实值：0.545 误差：0.491109656772%
预测值：0.5860000748553336 真实值：0.573888889 误差：2.11037120381%
预测值：0.6026050462814166 真实值：0.606111111 误差：0.578452474299%
预测值：0.5055055554800002 真实值：0.53 误差：4.62159330566%
预测值：0.5877835317823572 真实值：0.572777778 误差：2.6198212219%
预测值：0.577003280434405 真实值：0.583888889 误差：1.17926692823%
预测值：0.6497407561489327 真实值：0.635 误差：2.32137892109%
预测值：0.6062009391911665 真实值：0.591111111 误差：2.55279048395%
预测值：0.5625030247459446 真实值：0.576666667 误差：2.45612293281%
预测值：0.631522850545488 真实值：0.635555556 误差：0.634516592049%
预测值：0.6169043386428096 真实值：0.600555556 误差：2.72227647875%
预测值：0.6468566130352689 真实值：0.634444444 误差：1.95638391236%
预测值：0.6159049603736311 真实值：0.621111111 误差：0.838199564324%
